protein,l2FC,Q1,Q3,p,padj
C9H2ORF76,-0.7072730774829132,-0.9865034197102815,-0.48165811804026504,0.007936507936507936,0.08956916099773243
CABZ01044048.1,0.29640621277841817,-0.21628743754104107,0.616929796581374,0.6904761904761905,0.8081128747795414
CABZ01073085.1,-0.7160575967546272,-1.0805089812875757,-0.37553878655977613,0.031746031746031744,0.16535845107273678
CADM4,0.20277891904246736,-0.16132868739159179,1.0314612387863509,0.5476190476190477,0.6959019532746075
CAHZ,0.7467372375588965,-0.05696132640346718,1.0769380315198376,0.30952380952380953,0.5024461839530333
CALD1L,0.05267549451235176,-0.26027029354865583,1.6825367641124522,0.42063492063492064,0.6078687572590011
CAP1,-0.6008878402815157,-0.9370873802259485,-0.12158438423005258,0.2222222222222222,0.42818428184281837
CAPZB,-0.41780157906280735,-0.7674401532933341,0.5482600802106194,0.5476190476190477,0.6959019532746075
CBR1,-1.2506363756131584,-1.408737515468534,-0.7351783594572119,0.15079365079365079,0.33874971789663727
CCT3,-0.49329350110473236,-1.0152235878427742,-0.2287949193485801,0.031746031746031744,0.16535845107273678
CCT7,-0.6941797214340131,-1.1647119271570556,-0.49400235792683844,0.15079365079365079,0.33874971789663727
CDH5,-0.24658987222571582,-0.7075744396681003,-0.013560797410026026,0.2222222222222222,0.42818428184281837
CFD,0.8036807042548766,-0.02596901859521239,1.2454743214723543,0.30952380952380953,0.5024461839530333
CFHR3,1.4633137631426543,0.7862813223746556,1.5135759128200412,0.015873015873015872,0.1122956645344705
CFL1,0.4647637137453451,-0.14493842698931303,0.522473331751435,0.5476190476190477,0.6959019532746075
CFL1L,0.13989944072531912,-0.6231938865946454,0.656690258977715,0.6904761904761905,0.8081128747795414
CFL2,-0.506665994492316,-0.6094917689292743,-0.039050459129427395,0.2222222222222222,0.42818428184281837
CFP,0.8544381065560742,0.5185485938178331,0.9281852817330183,0.007936507936507936,0.08956916099773243
CHMP2BA,1.1168451756736886,0.09541564813311076,2.2345597814193106,0.15079365079365079,0.33874971789663727
CILP,0.3993951363500212,-0.2639593702856118,1.1664132052158713,0.42063492063492064,0.6078687572590011
CIRBP,-0.559344731095182,-0.7460079452767392,0.0016456774663105023,0.30952380952380953,0.5024461839530333
CKB,-0.9257080021773199,-1.576769629449796,-0.3247574824358388,0.09523809523809523,0.28937728937728935
CKMT2,-0.4356328978941981,-1.1052718060898492,0.20640939151794768,0.5476190476190477,0.6959019532746075
CLEC3BA,0.3150798051820267,-0.7964748569308266,0.5507729680055622,0.8412698412698413,0.8900935374149659
CLIC1,0.7195687442056506,-0.04729776659893048,0.9227534727887132,0.42063492063492064,0.6078687572590011
CLTA,-0.2060221367108941,-0.7455955079501866,-0.0015198900629389556,0.2222222222222222,0.42818428184281837
CLU,1.077701041198738,0.4333495322293093,1.5729623942970825,0.15079365079365079,0.33874971789663727
CNDP2,-0.08170624648086999,-0.2406403511340649,0.304451430246484,0.6904761904761905,0.8081128747795414
COL1A1A,-0.7097181150057246,-2.585637872754269,-0.48677588591462495,0.015873015873015872,0.1122956645344705
COL1A2,-0.5123269252060112,-1.8268559775238202,-0.2786353955245424,0.05555555555555555,0.21944444444444444
COL2A1A,0.34892945842629786,-1.0907668205287013,0.8656681151347598,1,1
COL5A1,-1.3031972993814591,-2.0093153934739796,-0.7357737808605407,0.031746031746031744,0.16535845107273678
COL6A1,-0.2536612281896389,-0.8877455266144842,0.0840414602601065,0.5476190476190477,0.6959019532746075
COL6A2,0.09096597865794465,-0.31761497999431043,0.5614891283692423,0.42063492063492064,0.6078687572590011
COTL1,0.3258346031003505,-0.03338220636912226,0.5167755162899361,0.42063492063492064,0.6078687572590011
CP,0.7895077274099194,0.041339969357238715,1.1056049752821195,0.15079365079365079,0.33874971789663727
CPB2,1.6761168152489816,0.9955021564639779,1.861173024143742,0.15079365079365079,0.33874971789663727
CPN1,2.0966594208722853,1.597482513498603,2.4865740097415223,0.007936507936507936,0.08956916099773243
