protein,l2FC,Q1,Q3,p,padj
ACSBG2,-0.6383650105037226,-0.6832104198711679,-0.48349389416370236,0.015873015873015872,0.03882236902468116
ACSF2,0.21349740834656927,-0.039265972164511886,0.4308556166617663,0.4126984126984127,0.5053297619765336
ACSL1,0.20787685296588165,0.0654142565072453,0.5425816641969741,0.19047619047619047,0.2713073447346538
ACSL3B,-0.15553191101623653,-0.2525188497477755,-0.0649466877135847,0.06349206349206349,0.11115626321212045
ACSL4A,0.0573709511764271,-0.1888233265559105,0.24966190029912116,0.9047619047619049,0.9272234476594151
ACSL6,0.05188624520217644,-0.20901622089253902,0.5053390839567076,0.9047619047619049,0.9272234476594151
ACSS1,0.7711527351103555,0.42126134107826374,0.9374993150980169,0.031746031746031744,0.06471563833804123
ACSS2,0.38321732537922415,0.23861948938194733,0.4385540729348296,0.015873015873015872,0.03882236902468116
ACSS3,0.688163658103754,0.3079330563616782,0.9732618476825659,0.015873015873015872,0.03882236902468116
ACTA2,1.4685373600818465,1.1855406844031693,1.5459126569691408,0.015873015873015872,0.03882236902468116
ACTB,0.05608290458576093,-0.08664441958014457,0.27314821398396916,0.7301587301587302,0.7914144417506569
ACTG1,0.02614857289852779,-0.16012610537633432,0.08728824515617006,1,1
ACTL6A,0.030972392992548947,0.016062231260964843,0.2509565135508556,0.19047619047619047,0.2713073447346538
ACTN1,0.5477632863587623,0.35962393798887504,0.6353463908255552,0.015873015873015872,0.03882236902468116
ACTN3B,0.5176439111557833,0.44107776428919543,0.5830923666930081,0.015873015873015872,0.03882236902468116
ACTN4,0.8975468285790953,0.6622038329775011,1.004610439186317,0.015873015873015872,0.03882236902468116
ACTR1,0.4910493008240451,0.4603914799832749,0.6046773749691043,0.015873015873015872,0.03882236902468116
ACTR10,0.8673996772962411,0.7199817331288734,0.9638791717737218,0.015873015873015872,0.03882236902468116
ACTR2,0.18975743584130456,0.15085597347073954,0.3678782889815899,0.015873015873015872,0.03882236902468116
ACTR3,0.8112652853136311,0.7436714063781524,0.8643873101958777,0.015873015873015872,0.03882236902468116
ACVRL1,0.8362561875498393,0.5016509133064666,1.0291642786325017,0.015873015873015872,0.03882236902468116
ACY1,-0.07435578394852982,-0.3056593299470043,0.09885085309937303,0.4126984126984127,0.5053297619765336
ACY3,-0.1320015235956582,-0.25792384710345395,0.17994342782497164,0.9047619047619047,0.9272234476594151
ADA,-0.3962224237087568,-0.48307273266958095,-0.23207979070924178,0.031746031746031744,0.06471563833804123
ADAM10A,-0.40459905659154316,-0.45241506665664133,-0.3428035527355622,0.015873015873015872,0.03882236902468116
ADAM17A,0.5404888513596227,0.3962928278397442,0.6719267985587685,0.015873015873015872,0.03882236902468116
ADAM17B,0.3860957633980391,0.08823816771120097,0.50640013361827,0.1111111111111111,0.17444856730571015
ADAM19B,-0.19315304100960518,-0.4197930700963841,-0.0968595561190968,0.06349206349206349,0.11115626321212045
ADAM28,-0.24486828796857196,-0.36978622487564206,-0.20288116884890695,0.015873015873015872,0.03882236902468116
ADAM8A,-1.134284316447495,-1.2168410535593672,-1.0984762986132335,0.015873015873015872,0.03882236902468116
ADAM9,0.6389159263381927,0.4702873268222305,0.861587839914626,0.015873015873015872,0.03882236902468116
ADAMTS10,0.6858766672065251,0.5959924561943,0.840443232038,0.015873015873015872,0.03882236902468116
ADAP1,0.9861791854233175,0.6855418024820468,1.067028993229874,0.015873015873015872,0.03882236902468116
ADAR,-0.2558574108991074,-0.3414444420250442,-0.19290785724702797,0.015873015873015872,0.03882236902468116
ADARB1B,-0.09546511093504506,-0.20127777176062445,0.2054456036314356,0.9047619047619049,0.9272234476594151
ADAT2,-0.3400422050190812,-0.4823043099780211,-0.25938417631746846,0.015873015873015872,0.03882236902468116
ADCK3,0.08331023068525667,0.0011778800917054966,0.16363748708815073,0.2857142857142857,0.3744986862121421
ADCK4,-0.028124477083338206,-0.16830566442919714,0.03166112479846994,0.7301587301587302,0.7914144417506569
ADCY6B,0.5310185198580033,0.392740303543869,0.6055829779696627,0.015873015873015872,0.03882236902468116
ADCY7,0.37837978087944535,0.19747628261346684,0.43947013970577053,0.1111111111111111,0.17444856730571015
ADCY9,-0.5672347606873256,-0.7234629205496463,0.20761789049268842,0.5555555555555556,0.6406252957096084
ADD1,-0.38165358477403544,-0.40934110052697026,-0.22912963491834493,0.015873015873015872,0.03882236902468116
ADD2,-0.8114693341817301,-0.9686268741067403,0.3410692399403539,0.7301587301587302,0.7914144417506569
ADD3A,0.30050431804974664,0.07708328469533843,0.366870743330022,0.06349206349206349,0.11115626321212045
ADD3B,-0.09541592849328495,-0.42949859795395273,0.21741204823987825,0.7301587301587302,0.7914144417506569
ADH5,0.04918723786988721,-0.04645849777033195,0.12042690224671837,0.9047619047619049,0.9272234476594151
ADI1,-0.12606851109386952,-0.1693976759405249,0.04166412154223398,0.7301587301587302,0.7914144417506569
ADK,-0.5763503278566056,-0.7088380835671622,-0.15816683933157005,0.015873015873015872,0.03882236902468116
ADKA,0.12654004409815656,0.053476584232755364,0.2751683871728936,0.19047619047619047,0.2713073447346538
ADNP2B,-0.41181321033299234,-0.5181613109870469,-0.30842236969655223,0.015873015873015872,0.03882236902468116
ADNPA,-0.42010215457846556,-0.4784767639070697,-0.2663210141228305,0.015873015873015872,0.03882236902468116
ADNPB,-0.35839532867295887,-0.4481667024841358,-0.06940426604187966,0.2857142857142857,0.3744986862121421
ADOA,0.21296672267526873,0.04339129973773792,0.4488333022996138,0.2857142857142857,0.3744986862121421
ADOB,0.256863443826127,0.09176199791344519,0.36388175852751736,0.19047619047619047,0.2713073447346538
ADPGK,0.3730928383456096,0.24787141475819308,0.5269165561358395,0.06349206349206349,0.11115626321212045
ADPGK2,-0.2886566545582241,-0.3547581282139465,-0.1352469887616623,0.2857142857142857,0.3744986862121421
ADPRH,0.2622979534600809,0.06927060895226678,0.32406040789878787,0.19047619047619047,0.2713073447346538
ADPRHL2,-0.030409436013002278,-0.06431856436074401,0.10295845576657658,0.9047619047619047,0.9272234476594151
ADRBK2,0.3683023232961311,0.1402152762017952,0.4574076500588742,0.1111111111111111,0.17444856730571015
ADRM1,-0.19770851327798056,-0.2997649416335797,-0.0933511446533215,0.015873015873015872,0.03882236902468116
ADSL,0.3917175017811978,0.32313039239921526,0.5055887823587542,0.015873015873015872,0.03882236902468116
ADSS,0.11730619430972666,0.0048367818037515775,0.15377175932742126,0.19047619047619047,0.2713073447346538
ADSSL,-0.14364938521919512,-0.23835743874850834,-0.07902364125054806,0.031746031746031744,0.06471563833804123
AFF4,-0.8015344645973066,-0.9794963029467088,-0.4056685379501297,0.19047619047619047,0.2713073447346538
AFG3L2,-0.11065646623099923,-0.3366184288541403,0.05229461357153298,0.7301587301587302,0.7914144417506569
