protein,l2FC,Q1,Q3,p,padj
ACLY,0.1428333478625028,-0.01760816707060542,0.22625015765713385,0.5476190476190477,0.6446497917546431
ACLYA,0.3045200668827768,-0.10702129667493665,0.9138117220168667,0.42063492063492064,0.5304952333640859
ACN9,-0.44967732789409,-0.5903348122026699,-0.22091149635419782,0.05555555555555555,0.1246639413692778
ACO1,0.5518892231900807,0.3482644635944254,0.5893099601634297,0.031746031746031744,0.08356167765187983
ACO2,0.4591913076984646,0.2769164402863389,0.588700037318425,0.031746031746031744,0.08356167765187983
ACOT11,-1.154504784954213,-1.3090050746545412,-0.6899884078002021,0.09523809523809523,0.18343155185260446
ACOT13,-0.6261330998981514,-3.7270254825803484,-0.46860819301248036,0.007936507936507936,0.034027966263558404
ACOT9,-0.28774462907790976,-0.4319112597932211,-0.1304744907190596,0.05555555555555555,0.1246639413692778
ACOX1,-0.8985095976475215,-1.04530087108337,0.35343276260474,0.8412698412698413,0.8830072597514458
ACOX3,0.011930710687160229,-0.13754949562786933,0.5496300903087921,0.6904761904761905,0.7649359858490934
ACP1,0.17621665040024226,-0.02671729754230867,0.22271790185573082,0.42063492063492064,0.5304952333640859
ACP2,0.0511011542241846,-0.10746197004172942,0.18116711782224115,0.8412698412698413,0.8830072597514458
ACP5A,-0.57300986962181,-0.8181526552845106,-0.3903856740968976,0.015873015873015872,0.051195958770994504
ACP6,0.1808021236582853,-0.2256200092091909,0.29076333821629063,1,1
ACSBG2,-0.6812573985451706,-0.7093104282841054,-0.5058703599295988,0.007936507936507936,0.034027966263558404
ACSF2,0.3615571346845208,0.025436889038431332,0.7409827653049597,0.2222222222222222,0.32486384030327026
ACSL1,0.17962379804572848,-0.07749770753357055,0.3937699520668403,0.42063492063492064,0.5304952333640859
ACSL3B,-0.1530208791617511,-0.2520514960461213,-0.04635443765478087,0.031746031746031744,0.08356167765187983
ACSL4A,0.006403979528244008,-0.26527378402818513,0.12025772570568094,1,1
ACSL6,-0.00982600489334473,-0.45778296871723256,0.3520668566327636,0.8412698412698413,0.8830072597514458
ACSS1,0.6840417833685102,0.2375366980489062,0.8976465411080241,0.2222222222222222,0.32486384030327026
ACSS2,0.37762993270001743,0.24169902056391024,0.43023964071779375,0.007936507936507936,0.034027966263558404
ACSS3,0.88435359115838,0.47952945841084826,0.9787168712494392,0.007936507936507936,0.034027966263558404
ACTA2,1.3930658195437715,0.9377964909384104,1.4810922206053476,0.007936507936507936,0.034027966263558404
ACTB,0.14113853890895456,-0.04269563562998968,0.271251973531335,0.5476190476190477,0.6446497917546431
ACTG1,0.03078283228360945,-0.12744480575113215,0.3279393823427874,0.6904761904761905,0.7649359858490934
ACTL6A,0.017325249827138123,-0.06094365307817995,0.2221735602404138,0.42063492063492064,0.5304952333640859
ACTN1,0.4765453080060702,0.24563829741265053,0.6161741314687816,0.031746031746031744,0.08356167765187983
ACTN3B,0.47744907889198984,0.35824001139218,0.575597534735639,0.007936507936507936,0.034027966263558404
